0,1,2,3,4,5,6,7,8,9,10,11,12
0.0,3.2028805871455277,18.71978314757427,37.48101762740054,30.488687327125447,9.161101125500023,0.9239766449598674,0.02255481167515796,0.0,0.0,0.0,0.0,0.0,
0.0,3.310869319326779,19.382154192956666,38.124689631160805,29.464142734198838,8.808053033384072,0.8880246354199941,0.02210469897005533,0.0,0.0,0.0,0.0,0.0,
0.0,48.29209826869841,15.180660841411047,16.815946991379864,18.466091157879973,1.2458866051070951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,34.95099897723067,36.605023692875434,13.33727421252758,11.407302000054361,3.580642436755395,0.14577532894406506,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,39.9408132087006,38.92581083653668,19.871894756425704,1.2732000642648356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,29.40651336314201,19.700766088577748,20.795647219706115,19.255038887805465,10.805947206260546,0.03786031574208569,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,34.208047190818405,30.3493009530173,31.908630825468563,3.543238906698376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,21.107607164219758,23.967078518498187,50.8728127549937,4.1622543920443364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,34.722904917225314,14.892870974613038,36.92137321665318,12.572977246035318,0.8919829755620867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,25.75024609384502,23.655772727823692,33.41598400190557,16.139129484733473,1.056423337728886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,38.075775541671604,19.910417820229213,26.544662915432642,12.884129551814524,2.6365593079471634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.506071665399636,12.689651253949915,32.07050832474782,35.69624284996144,17.212109315219738,1.8599394976897352,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,7.568961564120406,42.86805346771555,28.972980461249026,18.383985795761856,2.2158805153596064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.6601686966511466,13.829346969228052,37.93246374034119,32.773129203321524,10.762108939736494,3.6481899247107026,0.3961648894523074,0.0,0.0,0.0,0.0,0.0,
